call_sign,channel,frequency_mhz,service_type,status,city,state,country,facility_id,erp_kw,haat_m,latitude,longitude,licensee
KKQA,201,88.1,FM,LIC,AKUTAN,AK,US,757242,0.09,-102.0,-243987.700025,-165.772778,"757242          0.09 kW       -102. m     26. m        m   N 54  8     6  W 165 46    22             ALEUTIAN PENINSULA BROADCASTING, INC."
KRUA,201,88.1,FM,LIC,ANCHORAGE,AK,US,69007,0.32,297.0,-209045.116756,-149.515611,69007           0.32 kW        297. m    619. m        m   N 61 20   8.8  W 149 30  56.2  1204036    UNIVERSITY OF ALASKA
K201CH,201,88.1,FX,LIC,CHENEGA BAY,AK,US,65234,0.021,-136.0,60.065194,-148.012306,UNKNOWN
KCUK,201,88.1,FM,LIC,CHEVAK,AK,US,33453,6.0,24.0,61.528611,-165.591222,UNKNOWN
K201BI,201,88.1,FX,LIC,CORDOVA,AK,US,65233,0.023,0.0,60.553333,-145.733639,"TERMINAL RADIO, INC."
KFPS,201,88.1,FM,LIC,FALSE PASS,AK,US,203577,0.09,-228.0,-123079.950025,-163.414194,"203577          0.09 kW       -228. m     18. m        m   N 54 51  20.8  W 163 24  51.1             ALEUTIAN PENINSULA BROADCASTING, INC."
KIYU-FM,201,88.1,FM,LIC,GALENA,AK,US,178861,0.09,11.0,-270891.016692,-156.876028,178861          0.09 kW         11. m     60. m        m   N 64 44  26.9  W 156 52  33.7             BIG RIVER PUBLIC BROADCASTING CORPORATION
K201AM,201,88.1,FX,LIC,GUSTAVUS,AK,US,8654,0.051,0.0,58.417417,-135.710139,UNKNOWN
KAKI,201,88.1,FM,STA,JUNEAU,AK,US,175915,1.7,-333.0,-283940.917139,-134.442222,"175915           1.7 kW       -333. m     42. m        m   N 58 18   4.0  W 134 26  32.0  1028325    K-LOVE, INC."
KAKI,201,88.1,FM,LIC,JUNEAU,AK,US,175915,1.7,-333.0,58.301111,-134.442222,"K-LOVE, INC."
K201AH,201,88.1,FX,LIC,KAKTOVIK,AK,US,60378,0.039,0.0,70.126472,-143.621667,UNKNOWN
KOGJ,201,88.1,FM,LIC,KENAI,AK,US,174802,1.1,104.0,60.521917,-151.073333,CSN INTERNATIONAL
K201EG,201,88.1,FX,LIC,KETCHIKAN,AK,US,84048,0.09,0.0,55.353556,-131.684194,"K-LOVE, INC."
K201DA,201,88.1,FX,LIC,KING COVE,AK,US,16933,0.25,0.0,55.060222,-162.328667,UNKNOWN
K201AG,201,88.1,FX,LIC,NUIQSUT,AK,US,60379,0.2,0.0,70.213833,-150.990583,UNKNOWN
K201AV,201,88.1,FX,LIC,POINT LAY,AK,US,60380,0.048,0.0,69.729389,-163.016528,UNKNOWN
K201AL,201,88.1,FX,LIC,PORT PROTECTION,AK,US,47412,0.054,0.0,56.32075,-133.029194,UNKNOWN
K201AO,201,88.1,FX,LIC,SEWARD,AK,US,53867,0.049,0.0,60.10275,-149.438806,UNKNOWN
K201CL,201,88.1,FX,LIC,TATITLEK,AK,US,65237,0.023,0.0,60.868333,-146.681722,UNKNOWN
WKRE,201,88.1,FM,LIC,ARGO,AL,US,169863,1.5,120.0,33.695361,-86.517472,UNKNOWN
WSJL,201,88.1,FM,LIC,BESSEMER,AL,US,88660,6.0,98.0,33.395944,-87.018611,"ELIJAH RADIO, INC."
WAYH,201,88.1,FM,LIC,ARVEST,AL,US,61509,3.5,204.0,34.818972,-86.738611,HOPE MEDIA GROUP
WOKM-LP,201,88.1,FL,AMD,MOBILE,AL,US,787871,0.05,12.0,-245750.183347,-88.121944,787871          0.05 kW         12. m     33. m        m   N 30 41    58  W  88 07    19  1032992    MOBILE ENVIRONMENTAL JUSTICE ACTION COALITION
KBAP,201,88.1,FM,LIC,BATESVILLE,AR,US,175536,0.25,39.0,35.797833,-91.67125,UNKNOWN
KRQA,201,88.1,FM,LIC,BENTONVILLE,AR,US,77546,1.0,70.0,36.393694,-94.181583,"K-LOVE, INC."
KBPW,201,88.1,FM,LIC,AMPTON,AR,US,91490,60.0,103.0,33.5365,-92.468778,AMERICAN FAMILY ASSOCIATION
KCGS-FM,201,88.1,FM,LIC,MARSHALL,AR,US,765851,38.0,191.0,-217772.183439,-92.616111,"765851           .38 kW        191. m    525. m        m   N 35 54     5  W  92 36    58  1308789    ICHTHUS FAMILY HOPE, INC."
KGIF,201,88.1,FM,LIC,TAFUNA,AS,US,175279,1.5,413.0,-14.3225,-170.763056,LEONE CHURCH OF CHRIST
KTHO,201,88.1,FM,LIC,DEWEY-HUMBOLDT,AZ,US,768270,3.3,491.0,-272143.500917,-112.533814,"768270           3.3 kW DA     491. m   2182. m        m   N 34 29 24.26  W 112 32  1.73             ADVANCE MINISTRIES, INC."
K201IB,201,88.1,FX,LIC,EBER-OVERGAARD,AZ,US,146233,0.205,0.0,34.42225,-110.566222,UNKNOWN
K201ER,201,88.1,FX,LIC,OLBROOK,AZ,US,89665,0.05,29.0,34.918083,-110.140944,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL"
KUYI,201,88.1,FM,LIC,OTEVILLA,AZ,US,85622,69.0,124.0,35.808056,-110.27375,THE HOPI FOUNDATION
KLTU,201,88.1,FM,LIC,MAMMOTH,AZ,US,79359,16.0,603.0,-145929.654444,-111.116972,"79359            16. kW DA     603. m   1372. m        m   N 32 14  56.2  W 111  7   1.1  1218220    K-LOVE, INC."
KPJM,201,88.1,FM,LIC,PAYSON,AZ,US,767421,1.0,268.0,-230365.350028,-111.193444,"767421            .1 kW        268. m   1920. m        m   N 34 17  16.1  W 111 11  36.4             KPJM-LP, INC."
